"name","status","slug","matched"
"Google Pixel 10 Pro","no-match","",""
"OnePlus Nord 6 Pro","no-match","",""
"Xiaomi 16 Pro","no-match","",""
"iPad Air 13"" (M3)","no-match","",""
"OnePlus Pad 3","no-match","",""
"Honor Pad 10","no-match","",""
"CMF Phone 2 Pro","no-match","",""
"Samsung Galaxy S25 Ultra","no-match","",""
"Infinix Note 40 Pro","no-match","",""
"Samsung Galaxy S24 Ultra","no-match","",""
"Google Pixel 9 Pro","no-match","",""
"Samsung Galaxy S24 FE","no-match","",""
"iPhone 15 Plus","no-match","",""
"Samsung Galaxy S25+","no-match","",""
"Samsung Galaxy A56 5G","no-match","",""
"Google Pixel 10 Pro XL","no-match","",""
"Google Pixel 10","no-match","",""
"Google Pixel 10 Pro Fold","no-match","",""
"Google Pixel 9","no-match","",""
"Google Pixel 9 Pro XL","no-match","",""
"OnePlus 14","no-match","",""
"OnePlus Nord 5","no-match","",""
"OnePlus Nord 4","no-match","",""
"OnePlus Nord CE4","no-match","",""
"Xiaomi 16","no-match","",""
"Xiaomi 15 Ultra","no-match","",""
"Xiaomi Poco C75","no-match","",""
"Tecno Camon 40","no-match","",""
"Tecno Spark 40 Pro+","no-match","",""
"Tecno Pova 7 Pro 5G","no-match","",""
"Tecno Pova 6 Pro 5G","fail","","rate-limited — wait a few minutes and re-run"
