slug,brand,product_code,gtin
airpods-4,Apple,AirPods 4,
airpods-4-anc,Apple,AirPods 4 (ANC),
airpods-max-usb-c,Apple,AirPods Max (USB-C),
airpods-pro-3,Apple,AirPods Pro 3,
amazfit-bip-6,Amazfit,Bip 6,
amazfit-gtr-4,Amazfit,GTR 4,
anker-65w-gan-3-port-charger,Anker,65W GaN 3-port Charger,
anker-737-powerbank-24000mah,Anker,737 Powerbank 24000mAh,
anker-powercore-20000mah,Anker,PowerCore 20000mAh,
anker-soundcore-liberty-4-nc,Anker,Soundcore Liberty 4 NC,
anker-soundcore-liberty-4-pro,Anker,Soundcore Liberty 4 Pro,
anker-soundcore-motion-300,Anker,Soundcore Motion 300,
anker-soundcore-p40i,Anker,Soundcore P40i,
anker-soundcore-r50i,Anker,Soundcore R50i,
anker-soundcore-space-one-pro,Anker,Soundcore Space One Pro,
anker-usb-c-cable-100w,Anker,USB-C Cable 100W,
apple-20w-usb-c-power-adapter,Apple,20W USB-C Power Adapter,
apple-airpods-2nd-gen,Apple,AirPods (2nd gen),
apple-usb-c-to-lightning-cable,Apple,USB-C to Lightning Cable,
apple-watch-se-2nd-gen,Apple,Watch SE (2nd gen),
apple-watch-series-10,Apple,Watch Series 10,
apple-watch-ultra-3,Apple,Watch Ultra 3,
asus-rog-phone-8-pro,Asus,ROG Phone 8 Pro,
asus-rog-phone-9,Asus,ROG Phone 9,
asus-rog-phone-9-pro,Asus,ROG Phone 9 Pro,
asus-rog-strix-g16,Asus,ROG Strix G16,
asus-rog-zephyrus-g16,Asus,ROG Zephyrus G16,
asus-tuf-gaming-a15,Asus,TUF Gaming A15,
asus-vivobook-15,Vivo,Vivobook 15,
asus-vivobook-go-15,Vivo,Vivobook Go 15,
asus-zenbook-14-oled,Asus,Zenbook 14 OLED,
asus-zenbook-14-ux425,Asus,ZenBook 14 (UX425),
asus-zenbook-14-ux425-refurbished,Asus,ZenBook 14 UX425 (Refurbished),
asus-zenbook-s-16,Asus,Zenbook S 16,
asus-zenfone-12-ultra,Asus,Zenfone 12 Ultra,
baseus-100w-usb-c-cable,Baseus,100W USB-C Cable,
baseus-65w-20000mah-powerbank,Baseus,65W 20000mAh Powerbank,
beko-13-place-dishwasher,Beko,Beko 13-place Dishwasher,
beko-9kg-front-load-washer,Beko,Beko 9kg Front Load Washer,
bosch-series-2-12-place-dishwasher,Bosch,Bosch Series 2 12-place Dishwasher,
bosch-series-4-13-place-dishwasher,Bosch,Bosch Series 4 13-place Dishwasher,
bosch-series-4-8kg-front-load,Bosch,Bosch Series 4 8kg Front Load,
bose-qc-ultra-headphones,Bose,QC Ultra Headphones,
bose-quietcomfort-earbuds-2024,Bose,QuietComfort Earbuds (2024),
bose-quietcomfort-headphones,Bose,QuietComfort Headphones,
bose-quietcomfort-ultra-earbuds,Bose,QuietComfort Ultra Earbuds,
bose-soundlink-flex-2nd-gen,Bose,SoundLink Flex (2nd gen),
bruhm-250l-double-door-fridge,Bruhm,Bruhm 250L Double Door Fridge,
clear-tpu-phone-case,Clear,Clear TPU Phone Case,
cmf-phone-2-pro,CMF,CMF Phone 2 Pro,
dell-g15-gaming,Dell,G15 Gaming,
dell-inspiron-14-2-in-1,Dell,Inspiron 14 2-in-1,
dell-inspiron-15,Dell,Inspiron 15,
dell-latitude-5400-refurbished,Dell,Latitude 5400 (Refurbished),
dell-latitude-5410,Dell,Latitude 5410,
dell-latitude-7400-refurbished,Dell,Latitude 7400 (Refurbished),
dell-latitude-7450,Dell,Latitude 7450,
dell-vostro-3530,Dell,Vostro 3530,
dell-xps-13-2025,Dell,XPS 13 (2025),
dell-xps-13-9310-refurbished,Dell,XPS 13 9310 (Refurbished),
dell-xps-16-2026,Dell,XPS 16 (2026),
dji-osmo-pocket-3,DJI,DJI Osmo Pocket 3,
garmin-forerunner-165,Garmin,Garmin Forerunner 165,
google-pixel-10,Google,Pixel 10,
google-pixel-10-pro,Google,Pixel 10 Pro,
google-pixel-10-pro-fold,Google,Pixel 10 Pro Fold,
google-pixel-10-pro-xl,Google,Pixel 10 Pro XL,
google-pixel-9,Google,Pixel 9,
google-pixel-9-pro,Google,Pixel 9 Pro,
google-pixel-9-pro-xl,Google,Pixel 9 Pro XL,
google-pixel-9a,Google,Pixel 9a,
gopro-hero-13-black,GoPro,GoPro Hero 13 Black,
haier-195l-double-door-fridge,Haier,Haier 195L Double Door Fridge,
haier-43-fhd-android-tv,Haier,"Haier 43"" FHD Android TV",
haier-55-4k-google-tv,Google,"Haier 55"" 4K Google TV",
haier-7kg-top-load-washer,Haier,Haier 7kg Top Load Washer,
hisense-13-place-freestanding-dishwasher,Hisense,13-place Freestanding Dishwasher,
hisense-203l-double-door-ref203dr,Hisense,203L Double Door REF203DR,
hisense-32-hd-smart-tv,Hisense,"32"" HD Smart TV",
hisense-43-fhd-smart-tv,Hisense,"43"" FHD Smart TV",
hisense-433l-side-by-side,Hisense,433L Side-by-Side,
hisense-55-4k-uhd-a6k,Hisense,"55"" 4K UHD A6K",
hisense-55-a6-4k-uhd,Hisense,"55"" A6 4K UHD",
hisense-65-uled-u7k,Hisense,"65"" ULED U7K",
hisense-8kg-front-load-washer,Hisense,8kg Front Load Washer,
hmd-fusion,HMD,HMD Fusion,
hmd-skyline,HMD,HMD Skyline,
honor-200-pro,Honor,200 Pro,
honor-400,Honor,400,
honor-400-pro,Honor,400 Pro,
honor-600-pro,Honor,600 Pro,
honor-magic-7,Honor,Magic 7,
honor-magic-7-pro,Honor,Magic 7 Pro,
honor-magic-v3,Honor,Magic V3,
honor-pad-10,Honor,Pad 10,
honor-x7c,Honor,X7c,
honor-x9c,Honor,X9c,
hp-250-g10,HP,250 G10,
hp-elitebook-1040-g11,HP,EliteBook 1040 G11,
hp-elitebook-840-g11,HP,EliteBook 840 G11,
hp-elitebook-840-g6-refurbished,HP,EliteBook 840 G6 (Refurbished),
hp-elitebook-840-g7,HP,EliteBook 840 G7,
hp-elitebook-840-g7-refurbished,HP,EliteBook 840 G7 (Refurbished),
hp-omen-16,HP,Omen 16,
hp-pavilion-14-2021,HP,Pavilion 14 (2021),
hp-pavilion-15-core-i5,HP,Pavilion 15 (Core i5),
hp-pavilion-aero-13,HP,Pavilion Aero 13,
hp-probook-450-g11,HP,ProBook 450 G11,
hp-probook-450-g7-refurbished,HP,ProBook 450 G7 (Refurbished),
hp-spectre-x360-13-refurbished,HP,Spectre x360 13 (Refurbished),
hp-spectre-x360-14,HP,Spectre x360 14,
hp-victus-15,HP,Victus 15,
huawei-freebuds-se-3,Huawei,FreeBuds SE 3,
huawei-watch-gt-5,Huawei,Watch GT 5,
infinix-gt-30-pro-5g,Infinix,GT 30 Pro 5G,
infinix-hot-60,Infinix,Hot 60,
infinix-hot-60-pro-plus,Infinix,Hot 60 Pro+,
infinix-note-40-pro,Infinix,Note 40 Pro,
infinix-note-50,Infinix,Note 50,
infinix-note-50-pro,Infinix,Note 50 Pro,
infinix-note-50-pro-plus-5g,Infinix,Note 50 Pro+ 5G,
infinix-smart-9,Infinix,Smart 9,
infinix-zero-40-5g,Infinix,Zero 40 5G,
ipad-11th-gen-a16,Apple,"iPad (11th gen, A16)",
ipad-air-11-m3,Apple,"iPad Air 11"" (M3)",
ipad-air-13-m2,Apple,"iPad Air 13"" (M2)",
ipad-air-13-m3,Apple,"iPad Air 13"" (M3)",
ipad-mini-a17-pro,Apple,iPad mini (A17 Pro),
ipad-pro-11-m5,Apple,"iPad Pro 11"" (M5)",
ipad-pro-13-m4,Apple,"iPad Pro 13"" (M4)",
ipad-pro-13-m5,Apple,"iPad Pro 13"" (M5)",
iphone-15,Apple,iPhone 15,
iphone-15-plus,Apple,iPhone 15 Plus,
iphone-15-pro-max,Apple,iPhone 15 Pro Max,
iphone-16,Apple,iPhone 16,
iphone-16-plus,Apple,iPhone 16 Plus,
iphone-16-pro,Apple,iPhone 16 Pro,
iphone-16-pro-max,Apple,iPhone 16 Pro Max,
iphone-16e,Apple,iPhone 16e,
iphone-17,Apple,iPhone 17,
iphone-17-pro,Apple,iPhone 17 Pro,
iphone-17-pro-max,Apple,iPhone 17 Pro Max,
iphone-air,Apple,iPhone Air,
jbl-charge-6,JBL,Charge 6,
jbl-flip-7,JBL,Flip 7,
jbl-go-4,JBL,Go 4,
jbl-live-beam-3,JBL,Live Beam 3,
jbl-tour-pro-3,JBL,Tour Pro 3,
jbl-tune-770nc,JBL,Tune 770NC,
jbl-wave-beam-2,JBL,Wave Beam 2,
jbl-wave-buds-2,JBL,Wave Buds 2,
leather-flip-wallet-case,Leather,Leather Flip Wallet Case,
lenovo-idea-tab-pro,Lenovo,Idea Tab Pro,
lenovo-ideapad-1,Lenovo,IdeaPad 1,
lenovo-ideapad-slim-3-core-i5,Lenovo,IdeaPad Slim 3 (Core i5),
lenovo-ideapad-slim-5,Lenovo,IdeaPad Slim 5,
lenovo-legion-5,Lenovo,Legion 5,
lenovo-loq-15,Lenovo,LOQ 15,
lenovo-tab-m11,Lenovo,Tab M11,
lenovo-tab-p12,Lenovo,Tab P12,
lenovo-thinkpad-e14-gen-6,Lenovo,ThinkPad E14 Gen 6,
lenovo-thinkpad-t14-gen-1,Lenovo,ThinkPad T14 (Gen 1),
lenovo-thinkpad-t490-refurbished,Lenovo,ThinkPad T490 (Refurbished),
lenovo-thinkpad-x1-carbon-gen13,Lenovo,ThinkPad X1 Carbon Gen13,
lenovo-thinkpad-x1-carbon-gen8-refurbished,Lenovo,ThinkPad X1 Carbon Gen8 (Refurbished),
lenovo-thinkpad-x1-yoga-gen5-refurbished,Lenovo,ThinkPad X1 Yoga Gen5 (Refurbished),
lenovo-yoga-slim-7,Lenovo,Yoga Slim 7,
lg-14-place-quadwash-dishwasher,LG,14-place QuadWash Dishwasher,
lg-234l-double-door-fridge,LG,234L Double Door Fridge,
lg-43-fhd-smart-tv,LG,"43"" FHD Smart TV",
lg-55-4k-uhd-ur78,LG,"55"" 4K UHD UR78",
lg-55-uhd-ur80,LG,"55"" UHD UR80",
lg-668l-instaview-side-by-side,LG,668L InstaView Side-by-Side,
lg-8kg-front-load-ai-dd,LG,8kg Front Load AI DD,
lg-oled-c5-65,LG,"OLED C5 65""",
lg-oled-g5-65,LG,"OLED G5 65""",
macbook-air-13-m1,Apple,"MacBook Air 13"" (M1)",
macbook-air-13-m1-refurbished,Apple,"MacBook Air 13"" M1 (Refurbished)",
macbook-air-13-m2,Apple,"MacBook Air 13"" (M2)",
macbook-air-13-m3,Apple,"MacBook Air 13"" (M3)",
macbook-air-13-m4,Apple,"MacBook Air 13"" (M4)",
macbook-air-13-retina-2020-intel,Apple,"MacBook Air 13"" (Retina, 2020 Intel)",
macbook-air-15-m3,Apple,"MacBook Air 15"" (M3)",
macbook-air-15-m4,Apple,"MacBook Air 15"" (M4)",
macbook-pro-13-2019-intel,Apple,"MacBook Pro 13"" (2019, Intel)",
macbook-pro-13-2019-refurbished,Apple,"MacBook Pro 13"" 2019 (Refurbished)",
macbook-pro-13-m1,Apple,"MacBook Pro 13"" (M1)",
macbook-pro-13-m2,Apple,"MacBook Pro 13"" (M2)",
macbook-pro-14-m1-pro-refurbished,Apple,"MacBook Pro 14"" M1 Pro (Refurbished)",
macbook-pro-14-m5,Apple,"MacBook Pro 14"" (M5)",
macbook-pro-14-m5-max,Apple,"MacBook Pro 14"" (M5 Max)",
macbook-pro-14-m5-pro,Apple,"MacBook Pro 14"" (M5 Pro)",
macbook-pro-16-2019-intel,Apple,"MacBook Pro 16"" (2019, Intel)",
macbook-pro-16-m5-max,Apple,"MacBook Pro 16"" (M5 Max)",
meta-quest-3s,Meta,Meta Quest 3S,
microsoft-surface-laptop-7,Microsoft,Surface Laptop 7,
