"slug","brand","identifier","status","detail"
"airpods-4","Apple","Apple AirPods 4","miss","HTTP 404"
"airpods-4-anc","Apple","Apple AirPods 4 (ANC)","miss","HTTP 404"
"airpods-max-usb-c","Apple","Apple AirPods Max (USB-C)","miss","HTTP 404"
"airpods-pro-3","Apple","Apple AirPods Pro 3","miss","HTTP 404"
"amazfit-bip-6","Amazfit","Amazfit Bip 6","miss","HTTP 404"
"amazfit-gtr-4","Amazfit","Amazfit GTR 4","miss","HTTP 404"
"anker-65w-gan-3-port-charger","Anker","Anker 65W GaN 3-port Charger","miss","HTTP 404"
"anker-737-powerbank-24000mah","Anker","Anker 737 Powerbank 24000mAh","miss","HTTP 404"
"anker-powercore-20000mah","Anker","Anker PowerCore 20000mAh","miss","HTTP 404"
"anker-soundcore-liberty-4-nc","Anker","Anker Soundcore Liberty 4 NC","miss","HTTP 404"
"anker-soundcore-liberty-4-pro","Anker","Anker Soundcore Liberty 4 Pro","miss","HTTP 404"
"anker-soundcore-motion-300","Anker","Anker Soundcore Motion 300","miss","HTTP 404"
"anker-soundcore-p40i","Anker","Anker Soundcore P40i","miss","HTTP 404"
"anker-soundcore-r50i","Anker","Anker Soundcore R50i","miss","HTTP 404"
"anker-soundcore-space-one-pro","Anker","Anker Soundcore Space One Pro","miss","HTTP 404"
"anker-usb-c-cable-100w","Anker","Anker USB-C Cable 100W","miss","HTTP 404"
"apple-20w-usb-c-power-adapter","Apple","Apple 20W USB-C Power Adapter","miss","HTTP 404"
"apple-airpods-2nd-gen","Apple","Apple AirPods (2nd gen)","miss","HTTP 404"
"apple-usb-c-to-lightning-cable","Apple","Apple USB-C to Lightning Cable","miss","HTTP 404"
"apple-watch-se-2nd-gen","Apple","Apple Watch SE (2nd gen)","miss","HTTP 404"
"apple-watch-series-10","Apple","Apple Watch Series 10","miss","HTTP 404"
"apple-watch-ultra-3","Apple","Apple Watch Ultra 3","miss","HTTP 404"
"asus-rog-phone-8-pro","Asus","Asus ROG Phone 8 Pro","miss","HTTP 404"
"asus-rog-phone-9","Asus","Asus ROG Phone 9","miss","HTTP 404"
"asus-rog-phone-9-pro","Asus","Asus ROG Phone 9 Pro","miss","HTTP 404"
"asus-rog-strix-g16","Asus","Asus ROG Strix G16","miss","HTTP 404"
"asus-rog-zephyrus-g16","Asus","Asus ROG Zephyrus G16","miss","HTTP 404"
"asus-tuf-gaming-a15","Asus","Asus TUF Gaming A15","miss","HTTP 404"
"asus-vivobook-15","Vivo","Vivo Vivobook 15","miss","HTTP 404"
"asus-vivobook-go-15","Vivo","Vivo Vivobook Go 15","miss","HTTP 404"
"asus-zenbook-14-oled","Asus","Asus Zenbook 14 OLED","miss","HTTP 404"
"asus-zenbook-14-ux425","Asus","Asus ZenBook 14 (UX425)","miss","HTTP 404"
"asus-zenbook-14-ux425-refurbished","Asus","Asus ZenBook 14 UX425 (Refurbished)","miss","HTTP 404"
"asus-zenbook-s-16","Asus","Asus Zenbook S 16","miss","HTTP 404"
"asus-zenfone-12-ultra","Asus","Asus Zenfone 12 Ultra","miss","HTTP 404"
"baseus-100w-usb-c-cable","Baseus","Baseus 100W USB-C Cable","miss","HTTP 404"
"baseus-65w-20000mah-powerbank","Baseus","Baseus 65W 20000mAh Powerbank","miss","HTTP 404"
"beko-13-place-dishwasher","Beko","Beko Beko 13-place Dishwasher","miss","HTTP 404"
"beko-9kg-front-load-washer","Beko","Beko Beko 9kg Front Load Washer","miss","HTTP 404"
"bosch-series-2-12-place-dishwasher","Bosch","Bosch Bosch Series 2 12-place Dishwasher","miss","HTTP 404"
"bosch-series-4-13-place-dishwasher","Bosch","Bosch Bosch Series 4 13-place Dishwasher","miss","HTTP 404"
"bosch-series-4-8kg-front-load","Bosch","Bosch Bosch Series 4 8kg Front Load","miss","HTTP 404"
"bose-qc-ultra-headphones","Bose","Bose QC Ultra Headphones","miss","HTTP 404"
"bose-quietcomfort-earbuds-2024","Bose","Bose QuietComfort Earbuds (2024)","miss","HTTP 404"
"bose-quietcomfort-headphones","Bose","Bose QuietComfort Headphones","miss","HTTP 404"
"bose-quietcomfort-ultra-earbuds","Bose","Bose QuietComfort Ultra Earbuds","miss","HTTP 404"
"bose-soundlink-flex-2nd-gen","Bose","Bose SoundLink Flex (2nd gen)","miss","HTTP 404"
"bruhm-250l-double-door-fridge","Bruhm","Bruhm Bruhm 250L Double Door Fridge","miss","HTTP 404"
"clear-tpu-phone-case","Clear","Clear Clear TPU Phone Case","miss","HTTP 404"
"cmf-phone-2-pro","CMF","CMF CMF Phone 2 Pro","miss","HTTP 404"
"dell-g15-gaming","Dell","Dell G15 Gaming","miss","HTTP 404"
"dell-inspiron-14-2-in-1","Dell","Dell Inspiron 14 2-in-1","miss","HTTP 404"
"dell-inspiron-15","Dell","Dell Inspiron 15","miss","HTTP 404"
"dell-latitude-5400-refurbished","Dell","Dell Latitude 5400 (Refurbished)","miss","HTTP 404"
"dell-latitude-5410","Dell","Dell Latitude 5410","miss","HTTP 404"
"dell-latitude-7400-refurbished","Dell","Dell Latitude 7400 (Refurbished)","miss","HTTP 404"
"dell-latitude-7450","Dell","Dell Latitude 7450","miss","HTTP 404"
"dell-vostro-3530","Dell","Dell Vostro 3530","miss","HTTP 404"
"dell-xps-13-2025","Dell","Dell XPS 13 (2025)","miss","HTTP 404"
"dell-xps-13-9310-refurbished","Dell","Dell XPS 13 9310 (Refurbished)","miss","HTTP 404"
"dell-xps-16-2026","Dell","Dell XPS 16 (2026)","miss","HTTP 404"
"dji-osmo-pocket-3","DJI","DJI DJI Osmo Pocket 3","miss","HTTP 404"
"garmin-forerunner-165","Garmin","Garmin Garmin Forerunner 165","miss","HTTP 404"
"google-pixel-10","Google","Google Pixel 10","miss","HTTP 404"
"google-pixel-10-pro","Google","Google Pixel 10 Pro","miss","HTTP 404"
"google-pixel-10-pro-fold","Google","Google Pixel 10 Pro Fold","miss","HTTP 404"
"google-pixel-10-pro-xl","Google","Google Pixel 10 Pro XL","miss","HTTP 404"
"google-pixel-9","Google","Google Pixel 9","miss","HTTP 404"
"google-pixel-9-pro","Google","Google Pixel 9 Pro","miss","HTTP 404"
"google-pixel-9-pro-xl","Google","Google Pixel 9 Pro XL","miss","HTTP 404"
"google-pixel-9a","Google","Google Pixel 9a","miss","HTTP 404"
"gopro-hero-13-black","GoPro","GoPro GoPro Hero 13 Black","miss","HTTP 404"
"haier-195l-double-door-fridge","Haier","Haier Haier 195L Double Door Fridge","miss","HTTP 404"
"haier-43-fhd-android-tv","Haier","Haier ""Haier 43"""" FHD Android TV""","miss","HTTP 404"
"haier-55-4k-google-tv","Google","Google ""Haier 55"""" 4K Google TV""","miss","HTTP 404"
"haier-7kg-top-load-washer","Haier","Haier Haier 7kg Top Load Washer","miss","HTTP 404"
"hisense-13-place-freestanding-dishwasher","Hisense","Hisense 13-place Freestanding Dishwasher","miss","HTTP 404"
"hisense-203l-double-door-ref203dr","Hisense","Hisense 203L Double Door REF203DR","miss","HTTP 404"
"hisense-32-hd-smart-tv","Hisense","Hisense ""32"""" HD Smart TV""","miss","HTTP 404"
"hisense-43-fhd-smart-tv","Hisense","Hisense ""43"""" FHD Smart TV""","miss","HTTP 404"
"hisense-433l-side-by-side","Hisense","Hisense 433L Side-by-Side","miss","HTTP 404"
"hisense-55-4k-uhd-a6k","Hisense","Hisense ""55"""" 4K UHD A6K""","miss","HTTP 404"
"hisense-55-a6-4k-uhd","Hisense","Hisense ""55"""" A6 4K UHD""","miss","HTTP 404"
"hisense-65-uled-u7k","Hisense","Hisense ""65"""" ULED U7K""","miss","HTTP 404"
"hisense-8kg-front-load-washer","Hisense","Hisense 8kg Front Load Washer","miss","HTTP 404"
"hmd-fusion","HMD","HMD HMD Fusion","miss","HTTP 404"
"hmd-skyline","HMD","HMD HMD Skyline","miss","HTTP 404"
