category,product_name,slug,upload_filename,has_catalogue_image
Audio,AirPods 4,airpods-4,airpods-4.jpg,NO — needs photo
Audio,AirPods 4 (ANC),airpods-4-anc,airpods-4-anc.jpg,NO — needs photo
Audio,Anker Soundcore Liberty 4 NC,anker-soundcore-liberty-4-nc,anker-soundcore-liberty-4-nc.jpg,NO — needs photo
Audio,Anker Soundcore Liberty 4 Pro,anker-soundcore-liberty-4-pro,anker-soundcore-liberty-4-pro.jpg,NO — needs photo
Audio,Anker Soundcore Motion 300,anker-soundcore-motion-300,anker-soundcore-motion-300.jpg,NO — needs photo
Audio,Anker Soundcore P40i,anker-soundcore-p40i,anker-soundcore-p40i.jpg,NO — needs photo
Audio,Anker Soundcore Space One Pro,anker-soundcore-space-one-pro,anker-soundcore-space-one-pro.jpg,NO — needs photo
Audio,Bose QuietComfort Earbuds (2024),bose-quietcomfort-earbuds-2024,bose-quietcomfort-earbuds-2024.jpg,NO — needs photo
Audio,Bose QuietComfort Headphones,bose-quietcomfort-headphones,bose-quietcomfort-headphones.jpg,NO — needs photo
Audio,Bose SoundLink Flex (2nd gen),bose-soundlink-flex-2nd-gen,bose-soundlink-flex-2nd-gen.jpg,NO — needs photo
Audio,JBL Charge 6,jbl-charge-6,jbl-charge-6.jpg,NO — needs photo
Audio,JBL Flip 7,jbl-flip-7,jbl-flip-7.jpg,NO — needs photo
Audio,JBL Go 4,jbl-go-4,jbl-go-4.jpg,NO — needs photo
Audio,JBL Live Beam 3,jbl-live-beam-3,jbl-live-beam-3.jpg,NO — needs photo
Audio,JBL Tune 770NC,jbl-tune-770nc,jbl-tune-770nc.jpg,NO — needs photo
Audio,JBL Wave Buds 2,jbl-wave-buds-2,jbl-wave-buds-2.jpg,NO — needs photo
Audio,Samsung Galaxy Buds 3,samsung-galaxy-buds-3,samsung-galaxy-buds-3.jpg,NO — needs photo
Audio,Samsung Galaxy Buds FE,samsung-galaxy-buds-fe,samsung-galaxy-buds-fe.jpg,NO — needs photo
Audio,Sennheiser Accentum Wireless,sennheiser-accentum-wireless,sennheiser-accentum-wireless.jpg,NO — needs photo
Audio,Sennheiser Momentum True Wireless 4,sennheiser-momentum-true-wireless-4,sennheiser-momentum-true-wireless-4.jpg,NO — needs photo
Audio,Sony ULT Wear,sony-ult-wear,sony-ult-wear.jpg,NO — needs photo
Audio,Sony WF-C710N,sony-wf-c710n,sony-wf-c710n.jpg,NO — needs photo
Chargers & Cables,Anker 65W GaN 3-port Charger,anker-65w-gan-3-port-charger,anker-65w-gan-3-port-charger.jpg,NO — needs photo
Chargers & Cables,Anker USB-C Cable 100W,anker-usb-c-cable-100w,anker-usb-c-cable-100w.jpg,NO — needs photo
Chargers & Cables,Apple 20W USB-C Power Adapter,apple-20w-usb-c-power-adapter,apple-20w-usb-c-power-adapter.jpg,NO — needs photo
Chargers & Cables,Apple USB-C to Lightning Cable,apple-usb-c-to-lightning-cable,apple-usb-c-to-lightning-cable.jpg,NO — needs photo
Chargers & Cables,Baseus 100W USB-C Cable,baseus-100w-usb-c-cable,baseus-100w-usb-c-cable.jpg,NO — needs photo
Chargers & Cables,Oraimo 33W GaN Charger,oraimo-33w-gan-charger,oraimo-33w-gan-charger.jpg,NO — needs photo
Chargers & Cables,Oraimo USB-C to C 60W Cable,oraimo-usb-c-to-c-60w-cable,oraimo-usb-c-to-c-60w-cable.jpg,NO — needs photo
Chargers & Cables,Samsung 45W Travel Adapter,samsung-45w-travel-adapter,samsung-45w-travel-adapter.jpg,NO — needs photo
Chargers & Cables,UGREEN 100W GaN 4-port Charger,ugreen-100w-gan-4-port-charger,ugreen-100w-gan-4-port-charger.jpg,NO — needs photo
Chargers & Cables,UGREEN USB-C to C 240W Cable,ugreen-usb-c-to-c-240w-cable,ugreen-usb-c-to-c-240w-cable.jpg,NO — needs photo
