"slug","source","status","matched_title"
"google-pixel-10-pro","amazon","ok","Google Pixel 10 Pro - Unlocked Android Smartphone with Gemini, Your Google AI Assistant, Triple Rear Camera System, Fast-C..."
"oneplus-nord-6-pro","","no-match","no confident match on amazon"
"xiaomi-16-pro","amazon","ok","Apple iPhone 16 Pro, 256GB, Black Titanium - Unlocked (Renewed)"
"ipad-air-13-m3","amazon","ok","2025 Apple iPad Air with Apple M3 Chip (13-inch, Wi-Fi + Cellular, 512GB) - Starlight (Renewed Premium)"
"oneplus-pad-3","amazon","ok","OnePlus Pad 2 Qualcomm Snapdragon 256 Gb 12.1&quot; 12 Gb Wi-Fi 7, W129173405 (Gb 12.1 12 Gb Wi-Fi 7 (802.11Be) Gray)"
"honor-pad-10","amazon","ok","HONOR Pad 10 (12.1 inch, Wi-Fi) Tablet 2025 256GB Storage 8GB RAM Android 15 - Grey"
"cmf-phone-2-pro","amazon","ok","CMF Buds Pro 2 Wireless Earbuds with Smart Dial, 50dB Hybrid Noise Cancelling Earbuds Wireless Bluetooth 5.3, 11mm Bass wi..."
"samsung-galaxy-s25-ultra","amazon","ok","Samsung Galaxy S25 Ultra 5G, 512GB + 12GB RAM, Silver Blue - Unlocked (Renewed)"
"infinix-note-40-pro","","no-match","no confident match on amazon"
"samsung-galaxy-s24-ultra","amazon","ok","Samsung Galaxy S24 Ultra 5G, US Version, 256GB, Titanium Black - Unlocked (Renewed)"
"google-pixel-9-pro","amazon","ok","Google Pixel 9 Pro XL - Unlocked Android Smartphone with Gemini, Triple Rear Camera System, 24-Hour Battery, and 6.8&quot; Supe..."
"samsung-galaxy-s24-fe","amazon","ok","Samsung Galaxy S24 FE, 128GB - Unlocked (Renewed) | Renewed"
"iphone-15-plus","amazon","ok","Apple iPhone 15 Plus, 256GB, Pink - Locked to AT&amp;T (Renewed)"
"samsung-galaxy-s25-plus","amazon","ok","Samsung Galaxy S25+ Cell Phone, 256GB Smartphone, Unlocked Android, AI Night Mode Camera, Snapdragon 8 Elite Fast Processo..."
"samsung-galaxy-a56-5g","amazon","ok","SAMSUNG Galaxy A56 5G 2025 with AI | 256GB, 8GB, Dual SIM | 6.7&quot; 120Hz AMOLED, Water Resistant, Android 15 | International..."
"google-pixel-10-pro-xl","amazon","ok","Google Pixel 10 Pro XL - Unlocked Android Smartphone with Gemini, Your Google AI Assistant, Triple Rear Camera System, Fas..."
"google-pixel-10","amazon","ok","Google Pixel 10 - Unlocked Android Smartphone with Gemini, Your Google AI Assistant - Advanced Triple Rear Camera, Fast-Ch..."
"google-pixel-10-pro-fold","amazon","ok","Google Pixel 10 Pro Fold - Unlocked Android Smartphone with Gemini, Your AI Assistant - Advanced Triple Rear Camera System..."
"google-pixel-9","amazon","ok","Google Pixel 9 - Unlocked Android Smartphone with Gemini, 24-Hour Battery, Advanced Camera, and 6.3&quot; Actua Display - Obsid..."
"google-pixel-9-pro-xl","amazon","ok","Google Pixel 9 Pro XL - Unlocked Android Smartphone with Gemini, Triple Rear Camera System, 24-Hour Battery, and 6.8&quot; Supe..."
"oneplus-14","","no-match","no confident match on amazon"
"oneplus-nord-5","amazon","ok","OnePlus Nord N10 5G Unlocked Smartphone, Midnight Ice​, 90Hz Refresh Rate, 6GB RAM + 128GB Storage, Quad Camera, Warp Char..."
"oneplus-nord-4","amazon","ok","OnePlus Buds 4 Wireless Earbuds,Bass Wave in-Ear Buds,IP55 Tri-Mics AI Earphone,Up to 55dB Adaptive Noise Cancellation,Up ..."
"oneplus-nord-ce4","amazon","ok","Rfvzubemok Compatible with OnePlus Nord CE4,Compatible with Oppo K12 / K12 Plus,Compatible with MagSafe Magnetic Anti-Cras..."
"xiaomi-16","","no-match","no confident match on amazon"
